sale_id,sale_date,year,quarter,month,country,region,city,product_name,category,storage,color,unit_price_usd,discount_pct,units_sold,discounted_price_usd,revenue_usd,currency,fx_rate_to_usd,revenue_local_currency,sales_channel,payment_method,customer_segment,customer_age_group,previous_device_os,customer_rating,return_status
APPL-00000214,2023-09-20,2023,Q3,September,Argentina,South America,Salta,MacBook Pro 16-inch (M3 Pro),Mac,256 GB SSD,Silver,2405.7,5,1,2285.41,2285.41,ARS,907.0,2072866.87,Apple Store,Gift Card,Education,25–34,,3.3,Kept
APPL-00001272,2023-08-09,2023,Q3,August,Brazil,South America,Curitiba,HomePod mini,Accessories,,White,105.2,0,1,105.2,105.2,BRL,4.97,522.84,Authorized Reseller,Cash,Government,45–54,,4.8,Kept
APPL-00001442,2023-02-02,2023,Q1,February,Brazil,South America,São Paulo,iMac 24-inch (M3),Mac,256 GB SSD,Starlight,1223.06,0,1,1223.06,1223.06,BRL,4.97,6078.61,Carrier Store,Debit Card,Government,45–54,,4.7,Kept
APPL-00001250,2022-08-14,2022,Q3,August,Brazil,South America,Campinas,iPad Air (M1),iPad,1 TB,Blue,574.33,0,2,574.33,1148.66,BRL,4.97,5708.84,Carrier Store,Cash,Business,35–44,,,Kept
APPL-00000089,2024-01-23,2024,Q1,January,Argentina,South America,La Plata,MagSafe Charger,Accessories,,Space Gray,35.93,0,1,35.93,35.93,ARS,907.0,32588.51,Third-Party Retailer,Debit Card,Government,25–34,,3.9,Kept
APPL-00001741,2024-06-17,2024,Q2,June,Chile,South America,Antofagasta,Mac mini (M2),Mac,256 GB SSD,Gold,589.1,0,8,589.1,4712.8,CLP,960.0,4524288.0,Apple Store,Net Banking,Government,55+,,,Kept
APPL-00001221,2024-08-30,2024,Q3,August,Brazil,South America,Belo Horizonte,HomePod mini,Accessories,,Black,100.09,0,8,100.09,800.72,BRL,4.97,3979.58,Online (Apple.com),Gift Card,Individual,25–34,,3.3,Kept
APPL-00000108,2023-04-23,2023,Q2,April,Argentina,South America,Mar del Plata,iPhone 14 Pro,iPhone,1 TB,Blue Titanium,857.32,0,1,857.32,857.32,ARS,907.0,777589.24,Carrier Store,Gift Card,Business,45–54,New User,3.9,Kept
APPL-00000060,2024-05-29,2024,Q2,May,Argentina,South America,Córdoba,iPhone 13 Pro Max,iPhone,64 GB,Blue Titanium,1115.24,10,2,1003.72,2007.44,ARS,907.0,1820748.08,Apple Store,Apple Pay,Individual,35–44,New User,,Kept
APPL-00001447,2024-09-22,2024,Q3,September,Brazil,South America,São Paulo,iPhone 14 Pro Max,iPhone,64 GB,Blue Titanium,1026.19,0,2,1026.19,2052.38,BRL,4.97,10200.33,Carrier Store,Credit Card,Government,35–44,Other,,Kept
APPL-00001300,2024-03-29,2024,Q1,March,Brazil,South America,Fortaleza,iPhone 13 Pro,iPhone,128 GB,Silver,877.87,3,1,851.53,851.53,BRL,4.97,4232.1,Apple Store,Cash,Individual,18–24,New User,,Kept
APPL-00001386,2024-03-23,2024,Q1,March,Brazil,South America,Recife,MacBook Air 15-inch (M2),Mac,512 GB SSD,Silver,1364.27,10,4,1227.84,4911.36,BRL,4.97,24409.46,Carrier Store,Net Banking,Education,35–44,,3.3,Kept
APPL-00000071,2022-10-07,2022,Q4,October,Argentina,South America,La Plata,Mac mini (M2),Mac,256 GB SSD,Midnight,573.62,0,1,573.62,573.62,ARS,907.0,520273.34,Corporate / B2B,Gift Card,Business,18–24,,,Kept
APPL-00000097,2022-01-18,2022,Q1,January,Argentina,South America,Mar del Plata,iPad (10th Generation),iPad,64 GB,Space Gray,416.95,2,2,408.61,817.22,ARS,907.0,741218.54,Apple Store,Credit Card,Individual,18–24,,3.2,Returned
APPL-00002293,2024-06-20,2024,Q2,June,Colombia,South America,Cartagena,iPhone 14 Plus,iPhone,256 GB,Natural Titanium,855.04,10,4,769.54,3078.16,COP,3960.0,12189513.6,Apple Store,Debit Card,Business,35–44,iOS 16,,Kept
APPL-00002185,2022-06-11,2022,Q2,June,Colombia,South America,Barranquilla,Apple Watch SE (2nd Gen),Apple Watch,,Silver,231.4,15,1,196.69,196.69,COP,3960.0,778892.4,Authorized Reseller,Gift Card,Government,35–44,,3.5,Kept
APPL-00002299,2022-02-04,2022,Q1,February,Colombia,South America,Cúcuta,MacBook Pro 16-inch (M3 Pro),Mac,1 TB SSD,Silver,2305.02,15,1,1959.27,1959.27,COP,3960.0,7758709.2,Online (Apple.com),Apple Pay,Individual,45–54,,,Kept
APPL-00002368,2022-12-03,2022,Q4,December,Colombia,South America,Medellín,iPhone 14,iPhone,1 TB,Yellow,792.55,2,1,776.7,776.7,COP,3960.0,3075732.0,Online (Apple.com),EMI / Installment,Education,45–54,iOS 17,3.2,Kept
APPL-00000077,2023-04-04,2023,Q2,April,Argentina,South America,La Plata,Apple Watch Ultra 2,Apple Watch,,Silver,799.97,0,4,799.97,3199.88,ARS,907.0,2902291.16,Carrier Store,Cash,Business,18–24,,3.8,Kept
APPL-00002203,2024-09-03,2024,Q3,September,Colombia,South America,Barranquilla,iPhone 13,iPhone,256 GB,Yellow,722.57,10,2,650.31,1300.62,COP,3960.0,5150455.2,Apple Store,Apple Pay,Education,55+,iOS 17,,Kept
APPL-00000199,2022-05-04,2022,Q2,May,Argentina,South America,Salta,iPhone 14 Plus,iPhone,128 GB,Starlight,964.48,0,2,964.48,1928.96,ARS,907.0,1749566.72,Carrier Store,Net Banking,Individual,55+,Android,,Kept
APPL-00001440,2022-06-06,2022,Q2,June,Brazil,South America,São Paulo,MagSafe Charger,Accessories,,Space Gray,36.73,0,1,36.73,36.73,BRL,4.97,182.55,Third-Party Retailer,EMI / Installment,Government,25–34,,3.0,Kept
APPL-00001916,2024-07-04,2024,Q3,July,Chile,South America,Temuco,Apple Watch Series 9,Apple Watch,,Silver,409.09,10,2,368.18,736.36,CLP,960.0,706905.6,Carrier Store,Cash,Government,35–44,,3.3,Kept
APPL-00001441,2022-11-02,2022,Q4,November,Brazil,South America,São Paulo,Magic Keyboard,Accessories,,White,101.26,0,3,101.26,303.78,BRL,4.97,1509.79,Apple Store,Apple Pay,Business,45–54,,,Kept
